,Player,Tm,season17_18
381,Rondae Hollis-Jefferson,BRK,"$1,471,382 "
382,Tyus Jones,MIN,"$1,471,382 "
383,Jarell Martin,MEM,"$1,471,382 "
384,Larry Nance,CLE,"$1,471,382 "
385,Troy Williams,HOU,"$1,471,382 "
386,Chris McCullough,WAS,"$1,471,382 "
387,Raul Neto,UTA,"$1,471,382 "
388,Pat Connaughton,POR,"$1,471,382 "
389,Richaun Holmes,PHI,"$1,471,382 "
390,T.J. McConnell,PHI,"$1,471,382 "
391,Josh Huestis,OKC,"$1,471,382 "
392,Jordan Mickey,MIA,"$1,471,382 "
393,Montrezl Harrell,LAC,"$1,471,382 "
394,Joe Young,IND,"$1,471,382 "
395,Kevon Looney,GSW,"$1,471,382 "
396,Nikola Jokic,DEN,"$1,471,382 "
397,Salah Mejri,DAL,"$1,471,382 "
398,Caleb Swanigan,POR,"$1,465,920 "
399,Furkan Korkmaz,PHI,"$1,465,920 "
400,Willy Hernangomez,CHO,"$1,435,750 "
401,Kyle Kuzma,LAL,"$1,423,560 "
402,Tony Bradley,UTA,"$1,414,920 "
403,Derrick White,SAS,"$1,404,600 "
404,Josh Hart,LAL,"$1,394,520 "
405,Timothe Luwawu-Cabarrot,PHI,"$1,386,600 "
406,Kevin Martin,MIN,"$1,360,305 "
407,Brice Johnson,MEM,"$1,331,160 "
408,Pascal Siakam,TOR,"$1,312,611 "
409,Dejounte Murray,SAS,"$1,312,611 "
410,Skal Labissiere,SAC,"$1,312,611 "
411,A.J. Hammons,MIA,"$1,312,611 "
412,Deyonta Davis,MEM,"$1,312,611 "
413,Chinanu Onuaku,HOU,"$1,312,611 "
414,Damian Jones,GSW,"$1,312,611 "
415,Wayne Selden,MEM,"$1,312,611 "
416,Cheick Diallo,NOP,"$1,312,611 "
417,Joel Bolomboy,UTA,"$1,312,611 "
418,Davis Bertans,SAS,"$1,312,611 "
419,Bryn Forbes,SAS,"$1,312,611 "
420,Jake Layman,POR,"$1,312,611 "
421,Tyler Ulis,PHO,"$1,312,611 "
422,Marcus Georges-Hunt,MIN,"$1,312,611 "
423,Malcolm Brogdon,MIL,"$1,312,611 "
424,Rodney McGruder,MIA,"$1,312,611 "
425,Andrew Harrison,MEM,"$1,312,611 "
426,Ivica Zubac,LAL,"$1,312,611 "
427,Patrick McCaw,GSW,"$1,312,611 "
428,Dorian Finney-Smith,DAL,"$1,312,611 "
429,Yogi Ferrell,DAL,"$1,312,611 "
430,Treveon Graham,CHO,"$1,312,611 "
431,David Nwaba,CHI,"$1,312,611 "
432,Paul Zipser,CHI,"$1,312,611 "
433,Isaiah Whitehead,BRK,"$1,312,611 "
434,Sheldon Mac,ATL,"$1,312,611 "
435,Okaro White,ATL,"$1,312,611 "
436,Nicolas Brussino,ATL,"$1,312,611 "
437,Diamond Stone,ATL,"$1,312,611 "
438,Isaiah Taylor,ATL,"$1,312,611 "
439,Kay Felder,CHI,"$1,312,611 "
440,Fred VanVleet,TOR,"$1,312,611 "
441,Derrick Jones,PHO,"$1,312,611 "
442,Chasson Randle,NYK,"$1,312,611 "
443,Stephen Zimmerman,LAL,"$1,312,611 "
444,Semi Ojeleye,BOS,"$1,291,892 "
445,Frank Mason,SAC,"$1,184,385 "
446,Abdel Nader,BOS,"$1,167,333 "
447,Damyean Dotson,NYK,"$1,100,000 "
448,Paul Pierce,LAC,"$1,096,080 "
449,Isaiah Canaan,PHO,"$1,069,308 "
450,Wesley Iwundu,ORL,"$1,050,000 "
451,Livio Jean-Charles,SAS,"$1,035,200 "
452,Justin Hamilton,TOR,"$1,000,000 "
453,Gerald Henderson,PHI,"$1,000,000 "
454,Rade Zagorac,MEM,"$950,000 "
